createDt,deathCnt,defCnt,gubunEn,incDec,localOccCnt,overFlowCnt,qurRate,seq,stdDay,updateDt
2022-04-17,16,10899,10,0,10,-,16387,2022??04??17??00??null,,
2022-04-17,153,209361,Jeju,1468,1468,0,30936,16386,2022??04??17??00??null,
2022-04-17,1067,976778,Gyeongsangnam-do,5516,5516,0,29473,16385,2022??04??17??00??null,
2022-04-17,1120,656804,Gyeongsangbuk-do,5053,5053,0,25006,16384,2022??04??17??00??null,
2022-04-17,343,513157,Jeollanam-do,4396,4395,1,27998,16383,2022??04??17??00??null,
2022-04-17,762,520161,Jeollabuk-do,4158,4158,0,29110,16382,2022??04??17??00??null,
2022-04-17,802,629403,Chungcheongnam-do,5452,5451,1,29699,16381,2022??04??17??00??null,
2022-04-17,617,487408,Chungcheongbuk-do,3561,3558,3,30512,16380,2022??04??17??00??null,
2022-04-17,683,445113,Gangwon-do,3113,3113,0,28932,16379,2022??04??17??00??null,
2022-04-17,5442,4488649,Gyeonggi-do,23118,23117,1,33089,16378,2022??04??17??00??null,
2022-04-17,31,122847,Sejong,755,755,0,33033,16377,2022??04??17??00??null,
2022-04-17,313,334005,Ulsan,2018,2018,0,29780,16376,2022??04??17??00??null,
2022-04-17,574,448971,3558,3558,0,30916,16375,2022??04??17??00??null,,
2022-04-17,498,470075,Gwangju,3561,3559,2,32608,16374,2022??04??17??00??null,
2022-04-17,1244,985503,Incheon,4874,4874,0,33425,16373,2022??04??17??00??null,
2022-04-17,1176,662820,4210,4210,0,27786,16372,2022??04??17??00??null,,
2022-04-17,1922,1013861,3375,3375,0,30261,16371,2022??04??17??00??null,,
2022-04-17,4329,3329937,Seoul,14805,14805,0,35017,16370,2022??04??17??00??null,
2022-04-17,21092,16305752,Total,93001,92983,18,31577,16369,2022??04??17??00??null,
2022-04-16,16,10889,8,0,8,-,16368,2022??04??16??00??null,,
2022-04-16,150,207893,Jeju,1619,1619,0,30719,16367,2022??04??16??00??null,
2022-04-16,1058,971262,Gyeongsangnam-do,6354,6351,3,29306,16366,2022??04??16??00??null,
